entry_bar,exit_bar,entry_time,exit_time,side,pnl
5374,5433,2012-05-15T09:45,2012-05-16T09:55,-1,16.04000000000815
5448,5457,2012-05-16T11:10,2012-05-16T11:55,-1,-572.8000000000029
5719,5757,2012-05-23T10:00,2012-05-24T08:25,-1,-97.88000000000466
5985,6026,2012-05-30T08:25,2012-05-30T11:50,-1,552.160000000018
7238,7239,2012-06-28T13:05,2012-06-29T08:25,-1,-682.6800000000076
8254,8265,2012-07-24T12:15,2012-07-25T08:25,-1,-634.0249999999942
9343,9519,2012-08-20T12:45,2012-08-24T08:25,1,2021.9600000000355
9940,10368,2012-09-04T10:15,2012-09-13T12:40,1,4670.129999999917
10373,10440,2012-09-13T13:05,2012-09-17T09:10,1,477.50999999996566
11116,11230,2012-10-03T08:30,2012-10-05T08:30,1,916.3600000000006
11566,11622,2012-10-12T12:45,2012-10-15T12:40,-1,1212.800000000003
11840,12024,2012-10-19T11:50,2012-10-24T12:55,-1,2705.5999999999913
12084,12092,2012-10-26T08:25,2012-10-26T09:05,-1,-582.9199999999983
12133,12198,2012-10-26T12:30,2012-10-30T08:25,-1,174.55999999999767
12768,12778,2012-11-13T08:25,2012-11-13T09:15,1,-11.0
12865,12882,2012-11-14T11:45,2012-11-15T08:25,1,-726.4799999999959
13246,13290,2012-11-23T10:15,2012-11-26T09:10,1,721.3600000000006
13706,13723,2012-12-05T10:35,2012-12-05T12:00,-1,-526.3999999999796
13851,14022,2012-12-10T08:25,2012-12-13T08:25,1,277.9999999999709
14309,14379,2012-12-20T08:35,2012-12-21T09:40,-1,1925.800000000003
14415,14421,2012-12-21T12:40,2012-12-24T08:25,-1,-683.6000000000058
14609,14697,2012-12-28T09:50,2012-12-31T12:25,-1,-385.6399999999994
14990,15122,2013-01-08T13:05,2013-01-11T09:50,1,1823.0
15162,15250,2013-01-14T08:25,2013-01-15T11:00,1,2362.480000000025
15309,15335,2013-01-16T11:10,2013-01-17T08:35,1,-767.9999999999709
15354,15390,2013-01-17T10:10,2013-01-18T08:25,1,-505.59999999996217
16055,16103,2013-02-04T11:35,2013-02-05T10:50,1,-512.3999999999651
16131,16136,2013-02-06T08:25,2013-02-06T08:50,1,472.08000000000175
16187,16237,2013-02-06T13:05,2013-02-07T12:30,1,-659.3999999999942
16530,16587,2013-02-15T08:25,2013-02-18T08:25,-1,-301.4400000000169
16701,16746,2013-02-20T08:25,2013-02-20T12:10,-1,947.5599999999977
16758,16781,2013-02-21T08:25,2013-02-21T10:20,-1,765.0000000000291
16853,16872,2013-02-22T11:35,2013-02-25T08:25,-1,-759.7600000000093
16929,16940,2013-02-26T08:25,2013-02-26T09:20,-1,-472.24000000000524
17042,17157,2013-02-27T13:05,2013-03-04T08:25,-1,573.5600000000559
17196,17214,2013-03-04T11:40,2013-03-05T08:25,-1,-453.88000000003376
17788,17848,2013-03-19T08:45,2013-03-20T09:00,-1,331.0000000000291
18274,18297,2013-04-01T11:15,2013-04-02T08:25,1,0.5199999999895226
18393,18434,2013-04-03T11:40,2013-04-04T10:20,-1,1439.800000000003
18467,18470,2013-04-04T13:05,2013-04-05T08:35,-1,-614.0800000000017
18753,18796,2013-04-12T08:25,2013-04-12T12:00,-1,657.1200000000099
18810,18811,2013-04-15T08:25,2013-04-15T08:30,-1,1575.5199999999895
18822,18826,2013-04-15T09:25,2013-04-15T09:45,-1,-563.1999999999825
18830,18845,2013-04-15T10:05,2013-04-15T11:20,-1,617.4399999999732
19339,19361,2013-04-26T09:45,2013-04-26T11:35,1,-212.91999999999825
19380,19388,2013-04-29T08:25,2013-04-29T09:05,1,105.20000000001164
19411,19427,2013-04-29T11:00,2013-04-29T12:20,1,-318.31999999999243
20101,20103,2013-05-15T11:30,2013-05-15T11:40,-1,-555.4800000000105
20180,20184,2013-05-17T08:35,2013-05-17T08:55,-1,-554.0399999999936
20195,20233,2013-05-17T09:50,2013-05-17T13:00,-1,-13.320000000021537
20242,20269,2013-05-20T09:00,2013-05-20T11:15,-1,-456.15999999998894
20812,20862,2013-06-03T09:00,2013-06-04T08:25,1,-145.24000000003434
20919,21035,2013-06-05T08:25,2013-06-07T08:35,1,683.1999999999825
21285,21370,2013-06-13T10:25,2013-06-14T12:45,-1,-28.839999999981956
21398,21475,2013-06-17T10:20,2013-06-18T12:00,-1,-13.199999999982538
21532,21597,2013-06-19T12:00,2013-06-20T12:40,-1,2759.3999999999796
21603,21654,2013-06-21T08:25,2013-06-21T12:40,-1,-650.2800000000279
21660,21717,2013-06-24T08:25,2013-06-25T08:25,-1,856.9999999999854
21799,21815,2013-06-26T10:30,2013-06-26T11:50,-1,42.720000000015716
21823,21831,2013-06-26T12:30,2013-06-27T08:25,-1,-445.4799999999959
22401,22433,2013-07-11T08:25,2013-07-11T11:05,1,442.59999999999127
22498,22613,2013-07-12T11:45,2013-07-16T11:50,1,473.0399999999936
22771,22857,2013-07-19T10:45,2013-07-23T08:25,1,344.4399999999878
22933,22969,2013-07-24T10:00,2013-07-24T13:00,1,-323.8400000000256
23541,23562,2013-08-08T08:25,2013-08-08T10:10,1,1387.5599999999977
23620,23711,2013-08-09T10:15,2013-08-12T13:05,1,-132.39999999997963
23826,23829,2013-08-15T08:25,2013-08-15T08:40,1,-544.0800000000017
23866,23898,2013-08-15T11:45,2013-08-16T09:40,1,277.6000000000058
24145,24226,2013-08-22T11:15,2013-08-26T08:30,1,-142.40000000000873
24263,24313,2013-08-26T11:35,2013-08-27T11:00,1,-693.0
24624,24738,2013-09-04T08:25,2013-09-06T08:25,-1,1272.8800000000483
24860,24910,2013-09-10T09:05,2013-09-11T08:30,-1,-646.4000000000087
24962,25079,2013-09-11T12:50,2013-09-13T13:05,-1,1153.6000000000204
25151,25251,2013-09-17T09:35,2013-09-19T08:25,-1,69.8799999999901
25434,25453,2013-09-24T09:25,2013-09-24T11:00,-1,-629.4399999999878
25575,25594,2013-09-26T11:40,2013-09-27T08:30,-1,-548.1199999999953
25656,25679,2013-09-30T08:55,2013-09-30T10:50,-1,-572.0
25707,25724,2013-10-01T08:25,2013-10-01T09:50,-1,1052.0
25821,25831,2013-10-03T08:25,2013-10-03T09:15,-1,-501.4400000000023
25858,25878,2013-10-03T11:30,2013-10-04T08:25,-1,-444.4399999999878
26173,26211,2013-10-11T09:15,2013-10-11T12:25,-1,-512.9999999999709
26391,26562,2013-10-17T08:25,2013-10-22T08:25,1,850.039999999979
26564,26569,2013-10-22T08:35,2013-10-22T09:00,1,-655.5200000000186
26587,26619,2013-10-22T10:30,2013-10-23T08:25,1,-303.9199999999837
26676,26733,2013-10-24T08:25,2013-10-25T08:25,1,-470.9999999999709
26790,26896,2013-10-28T08:25,2013-10-29T12:30,1,67.55999999995402
26904,26961,2013-10-30T08:25,2013-10-31T08:25,1,-375.35999999998603
27305,27312,2013-11-08T08:35,2013-11-08T09:10,-1,-308.0
27360,27421,2013-11-11T08:25,2013-11-12T08:45,-1,-108.11999999993714
27665,27720,2013-11-18T10:05,2013-11-19T09:55,-1,189.0799999999872
27759,27786,2013-11-20T08:25,2013-11-20T10:40,-1,-302.6800000000221
27810,28158,2013-11-20T12:40,2013-11-29T08:25,-1,1656.0799999999872
28242,28291,2013-12-02T10:40,2013-12-03T10:00,-1,-174.8399999999965
28557,28586,2013-12-10T08:25,2013-12-10T10:50,1,356.8799999999901
28881,28899,2013-12-17T11:40,2013-12-18T08:25,-1,-580.1600000000326
28924,28996,2013-12-18T10:30,2013-12-19T11:45,-1,887.320000000007
29184,29185,2013-12-26T08:25,2013-12-26T08:30,1,-83.0
29412,29925,2014-01-02T08:25,2014-01-15T08:25,1,1523.3250000000698
30039,30153,2014-01-17T08:25,2014-01-21T08:25,1,-25.04999999998836
30450,30666,2014-01-28T09:25,2014-02-03T08:25,-1,1292.090000000011
30755,30780,2014-02-04T11:05,2014-02-05T08:25,-1,-1145.1899999999878
31065,32190,2014-02-12T08:25,2014-03-11T11:55,1,3116.3499999998603
32440,32946,2014-03-18T09:00,2014-03-31T08:25,-1,1656.0799999999872
33142,33269,2014-04-03T10:30,2014-04-07T11:35,1,-742.2000000000262
33402,33573,2014-04-10T08:25,2014-04-15T08:25,1,-423.77500000000873
33744,33932,2014-04-21T08:25,2014-04-24T09:50,-1,637.7950000000565
34286,34475,2014-05-02T10:50,2014-05-07T12:20,1,-308.65999999998894
34699,35160,2014-05-13T12:00,2014-05-23T12:25,1,488.870000000039
35255,35681,2014-05-27T10:55,2014-06-06T08:25,-1,592.4499999999243
35795,35909,2014-06-10T08:25,2014-06-12T08:25,1,-436.77999999996973
36088,36137,2014-06-17T09:05,2014-06-18T08:25,-1,-1355.184999999954
36464,36912,2014-06-25T11:55,2014-07-07T11:20,1,538.8750000000728
37218,37371,2014-07-14T13:05,2014-07-17T11:35,-1,-867.3599999999424
37618,37732,2014-07-24T08:25,2014-07-28T08:25,-1,-649.6949999999779
37957,38222,2014-07-31T12:55,2014-08-07T11:15,-1,-601.4350000000122
38533,40616,2014-08-15T08:40,2014-10-06T11:20,-1,10174.13000000002
41607,41722,2014-10-30T08:25,2014-11-03T08:30,-1,104.32000000000698
41835,42255,2014-11-05T08:25,2014-11-14T10:10,-1,1016.1249999999709
42519,42609,2014-11-21T08:25,2014-11-24T11:10,1,-212.4949999999808
42903,42917,2014-12-01T12:00,2014-12-02T08:25,1,-573.2900000000227
43202,43321,2014-12-09T08:25,2014-12-11T08:50,1,-770.8549999999377
43430,43886,2014-12-15T08:25,2014-12-26T08:25,-1,407.8949999999022
44019,44114,2014-12-30T10:00,2015-01-02T08:25,1,-669.0000000000146
44268,45024,2015-01-06T11:45,2015-01-23T13:05,1,2075.2449999998935
45196,45299,2015-01-29T08:25,2015-01-30T12:15,-1,511.1200000000099
45666,45844,2015-02-10T09:35,2015-02-13T10:10,-1,-172.05000000001746
45941,46335,2015-02-17T08:50,2015-02-26T08:25,-1,770.2499999999709
46520,46582,2015-03-03T09:35,2015-03-04T10:00,1,-980.2799999999988
46734,47190,2015-03-09T08:25,2015-03-19T08:25,-1,2343.305000000051
47315,47541,2015-03-23T09:20,2015-03-27T09:10,1,-232.31499999992957
47753,47760,2015-04-01T12:35,2015-04-02T08:25,1,-428.95999999999185
47817,47874,2015-04-06T08:25,2015-04-07T08:25,1,287.30999999993946
48501,48587,2015-04-22T08:25,2015-04-23T10:50,-1,85.120000000039
48634,48684,2015-04-24T10:00,2015-04-27T09:25,-1,-372.3599999999715
49274,49299,2015-05-11T11:05,2015-05-12T08:25,-1,-468.1699999999837
49424,49470,2015-05-14T09:20,2015-05-15T08:25,1,-233.05999999999767
49489,49584,2015-05-15T10:00,2015-05-19T08:25,1,-48.73000000003958
49870,50041,2015-05-26T08:35,2015-05-29T08:35,-1,418.0850000000646
50096,50108,2015-06-01T08:25,2015-06-01T09:25,-1,-500.6100000000006
50149,50164,2015-06-01T12:50,2015-06-02T09:20,-1,-494.25999999999476
50262,50381,2015-06-03T12:45,2015-06-08T08:25,-1,102.39999999997963
50666,50687,2015-06-15T08:25,2015-06-15T10:10,-1,-92.74000000001979
50780,50837,2015-06-17T08:25,2015-06-18T08:25,-1,-345.17500000001746
50954,51008,2015-06-22T08:40,2015-06-23T08:25,-1,20.630000000004657
51375,51407,2015-07-01T10:30,2015-07-02T08:25,1,-762.2149999999965
51520,51575,2015-07-06T08:25,2015-07-06T13:00,-1,-164.85000000000582
51585,51612,2015-07-07T09:05,2015-07-07T11:20,-1,284.4500000000262
51634,51646,2015-07-08T08:25,2015-07-08T09:25,-1,-283.72499999999127
51931,52170,2015-07-15T09:25,2015-07-21T10:20,-1,1019.7400000000052
52187,52242,2015-07-21T11:45,2015-07-22T11:35,-1,35.270000000004075
52617,52630,2015-07-31T09:35,2015-07-31T10:40,1,-690.2050000000017
52710,52903,2015-08-03T12:35,2015-08-07T09:40,-1,147.10000000000582
53059,53117,2015-08-12T08:25,2015-08-13T08:30,1,-237.5500000000029
53362,53515,2015-08-19T09:55,2015-08-24T08:25,1,623.6650000000081
53531,53532,2015-08-24T09:45,2015-08-24T09:50,-1,-627.6600000000035
53593,53658,2015-08-25T10:10,2015-08-26T10:50,-1,-473.69499999999243
54218,54356,2015-09-09T10:05,2015-09-11T12:05,-1,588.4550000000017
54369,54484,2015-09-14T08:25,2015-09-16T08:30,-1,-411.929999999993
54712,54836,2015-09-22T08:30,2015-09-24T09:20,-1,372.695000000007
54939,55040,2015-09-28T08:25,2015-09-29T12:05,-1,260.695000000007
55061,55074,2015-09-30T09:05,2015-09-30T10:10,-1,-577.2249999999913
55110,55116,2015-10-01T08:25,2015-10-01T08:55,-1,-328.5500000000029
55167,55169,2015-10-02T08:25,2015-10-02T08:35,-1,-472.3000000000029
55452,55472,2015-10-09T08:25,2015-10-09T10:05,1,723.5
55509,55534,2015-10-12T08:25,2015-10-12T10:30,1,170.3000000000029
55680,55683,2015-10-15T08:25,2015-10-15T08:40,1,-570.5
55728,55737,2015-10-15T12:25,2015-10-16T08:25,1,-502.0
55745,55794,2015-10-16T09:05,2015-10-19T08:25,1,278.59999999999127
56364,56482,2015-11-02T08:25,2015-11-04T08:45,-1,546.9499999999971
56529,56608,2015-11-04T12:40,2015-11-06T09:45,-1,493.0500000000029
56649,56741,2015-11-09T08:25,2015-11-10T11:20,-1,1443.449999999997
56764,56835,2015-11-11T08:30,2015-11-12T09:40,-1,544.75
56877,56879,2015-11-13T08:25,2015-11-13T08:35,-1,-307.5
56880,56984,2015-11-13T08:40,2015-11-16T12:35,-1,-37.10000000000582
57019,57065,2015-11-17T10:45,2015-11-18T09:50,-1,33.94999999999709
57220,57238,2015-11-23T08:30,2015-11-23T10:00,-1,-475.1000000000058
57278,57366,2015-11-24T08:35,2015-11-25T11:10,-1,-29.75
57503,57560,2015-11-30T08:25,2015-12-01T08:25,-1,-367.8000000000029
57668,57674,2015-12-02T12:40,2015-12-03T08:25,-1,-547.6499999999942
57746,57761,2015-12-04T09:40,2015-12-04T10:55,1,512.8999999999942
58401,58419,2015-12-21T12:00,2015-12-22T08:45,1,-509.0500000000029
58546,58613,2015-12-24T09:50,2015-12-28T10:40,1,-361.34999999999127
58643,58669,2015-12-29T08:25,2015-12-29T10:35,1,-145.84999999999127
58871,58886,2016-01-05T08:25,2016-01-05T09:40,1,-427.5500000000029
59115,59162,2016-01-11T09:45,2016-01-12T08:55,-1,197.9499999999971
59181,59215,2016-01-12T10:30,2016-01-13T08:35,-1,-491.3000000000029
59275,59331,2016-01-14T08:50,2016-01-15T08:45,-1,-389.5500000000029
59362,59440,2016-01-15T11:20,2016-01-19T08:25,-1,172.75
59524,59600,2016-01-20T10:40,2016-01-21T12:15,-1,-198.6999999999971
59727,59849,2016-01-26T08:35,2016-01-28T09:15,1,483.84999999999127
60124,60186,2016-02-04T08:25,2016-02-05T08:50,1,685.9499999999971
60242,60267,2016-02-08T08:45,2016-02-08T10:50,1,227.5500000000029
60293,60311,2016-02-08T13:00,2016-02-09T09:45,1,-112.5
60349,60352,2016-02-09T12:55,2016-02-10T08:25,1,-577.9000000000087
60409,60463,2016-02-11T08:25,2016-02-11T12:55,1,916.6000000000058
61024,61033,2016-02-25T12:15,2016-02-25T13:00,-1,-527.1999999999971
61065,61092,2016-02-26T10:55,2016-02-29T08:25,-1,-339.5500000000029
61320,61322,2016-03-04T08:25,2016-03-04T08:35,1,-527.6999999999971
61326,61349,2016-03-04T08:55,2016-03-04T10:50,1,119.75
61353,61426,2016-03-04T11:10,2016-03-07T12:30,1,1141.800000000003
62166,62232,2016-03-24T12:25,2016-03-29T08:25,-1,-69.25
62598,62632,2016-04-06T10:25,2016-04-07T08:30,-1,-755.5599999999977
62746,62916,2016-04-11T08:30,2016-04-14T08:25,1,134.33499999999185
63090,63215,2016-04-19T08:40,2016-04-21T09:35,1,1281.9049999999988
63523,63680,2016-04-28T11:30,2016-05-03T10:20,1,1249.5400000000081
64132,64158,2016-05-13T10:00,2016-05-13T12:10,-1,-638.414999999979
64285,64404,2016-05-18T08:30,2016-05-20T08:55,-1,675.8249999999825
64464,64626,2016-05-23T09:10,2016-05-26T08:25,-1,127.78500000000349
64688,64853,2016-05-27T08:50,2016-06-01T08:25,-1,311.9550000000163
64882,64969,2016-06-01T10:50,2016-06-03T08:35,-1,-231.02499999999418
65138,65195,2016-06-08T08:25,2016-06-09T08:25,1,-112.42999999999302
65545,65594,2016-06-17T09:05,2016-06-20T08:25,-1,-359.08000000000175
65993,66220,2016-06-29T08:25,2016-07-05T08:25,1,3106.475000000006
66236,66355,2016-07-05T09:45,2016-07-07T10:10,1,298.9250000000029
66402,66415,2016-07-08T09:20,2016-07-08T10:25,1,-518.660000000018
66443,66505,2016-07-08T12:45,2016-07-12T08:25,1,-367.95000000001164
66855,66872,2016-07-20T09:05,2016-07-20T10:30,-1,-531.1700000000128
