q_label,is_lo,is_hi,os_lo,os_hi,best_L,best_S,is_profit,is_dd,is_npdd,is_trades,os_profit,os_dd,os_trades
2022Q1,150673,209529,209530,213177,610,0.012,37338.55999999982,-4243.780000000028,8.798420276263043,218.0,1126.0800000000017,-5233.600000000035,18.0
2022Q2,154262,213177,213178,216825,660,0.012,37055.719999999885,-4630.53999999995,8.00246191588892,216.0,1298.5800000000163,-2322.779999999999,12.0
2022Q3,157966,216825,216826,220587,660,0.012,38769.15999999986,-4630.53999999995,8.372492193135201,219.0,457.3400000000256,-2144.859999999986,25.0
2022Q4,161669,220587,220588,224235,660,0.012,35558.759999999835,-4630.539999999892,7.67918212562696,237.0,3352.059999999954,-1679.7000000000116,8.0
2023Q1,165373,224235,224236,227883,660,0.012,39564.31999999995,-4630.539999999892,8.54421298595863,236.0,-5318.500000000073,-6004.500000000073,22.0
2023Q2,168962,227883,227884,231531,640,0.013,33295.44500000047,-5091.734999999884,6.53911584165343,236.0,1876.9500000000262,-2202.8250000000116,18.0
2023Q3,172609,231531,231532,235236,3980,0.013,24114.479999999996,-3751.0599999999977,6.4287108177421874,78.0,-728.839999999982,-949.839999999982,2.0
2023Q4,176369,235236,235237,238884,600,0.016,37471.96000000017,-6211.720000000001,6.0324612184709165,209.0,1867.6399999999703,-2336.7200000000157,13.0
2024Q1,180073,238884,238885,242475,600,0.016,36517.680000000226,-6211.72000000003,5.878835491619077,215.0,-4030.0,-4723.679999999993,14.0
2024Q2,183719,242475,242476,246180,3980,0.013,13013.044999999984,-3751.0599999999977,3.4691647161069117,67.0,296.3050000000221,-1555.5800000000017,5.0
2024Q3,187366,246180,246181,249942,3980,0.013,13309.350000000006,-3751.0599999999977,3.5481570542726626,72.0,-643.1100000000006,-1609.1100000000006,3.0
2024Q4,191126,249942,249943,253647,3980,0.013,14821.375000000044,-3751.0599999999977,3.951249780062183,67.0,-960.2449999999953,-1555.2449999999953,3.5
2025Q1,194830,253647,253648,257238,3980,0.013,10190.010000000082,-3751.0599999999977,2.71656811674569,68.5,-62.4550000000163,-648.4550000000017,1.0
2025Q2,198419,257238,257239,260886,500,0.016,13504.279999999999,-7395.64000000013,1.825978549523741,233.5,10213.480000000141,-4002.200000000026,15.0
2025Q3,202066,260886,260887,264647,500,0.016,24157.440000000104,-7395.64000000013,3.266443472099734,235.0,9760.279999999897,-3249.1600000000326,13.0
2025Q4,205826,264647,264648,268352,590,0.016,28981.24000000002,-6171.720000000118,4.6958125125571915,213.0,30122.39999999985,-2924.3599999999715,18.0
2026Q1,209530,268352,268353,271943,3680,0.009,34322.605000000214,-3239.6299999998446,10.594606482839664,129.0,1932.8600000001024,-5580.8099999999395,15.0
