entry_bar,exit_bar,entry_time,exit_time,side,pnl
23256,23277,2019-08-26T09:05,2019-08-26T10:50,1,5498.929999999993
23400,23409,2019-08-28T09:05,2019-08-28T09:50,1,-109.57000000000698
23536,23544,2019-08-29T14:25,2019-08-30T09:05,1,-366.8199999999488
23760,23766,2019-09-04T09:05,2019-09-04T09:35,1,-1717.320000000007
23970,23977,2019-09-06T14:35,2019-09-09T09:10,-1,2157.180000000022
24048,24058,2019-09-10T09:05,2019-09-10T09:55,-1,3332.430000000051
24480,24501,2019-09-19T09:05,2019-09-19T10:50,-1,-1617.0699999999779
24696,24840,2019-09-24T09:05,2019-09-26T09:05,1,1075.179999999993
25272,25333,2019-10-11T09:05,2019-10-11T14:10,-1,-1417.5699999999488
25344,25347,2019-10-14T09:05,2019-10-14T09:20,-1,1247.179999999993
25370,25416,2019-10-14T11:15,2019-10-15T09:05,-1,-999.320000000007
25553,25560,2019-10-16T14:30,2019-10-17T09:05,-1,-1548.5699999999779
25776,25848,2019-10-22T09:05,2019-10-23T09:05,-1,-1397.0699999999197
26054,26136,2019-10-25T14:15,2019-10-29T09:05,1,-1325.070000000036
26568,26640,2019-11-06T09:05,2019-11-07T09:05,-1,3022.1800000001094
26712,26775,2019-11-08T09:05,2019-11-08T14:20,-1,3698.9300000001385
26856,26928,2019-11-12T09:05,2019-11-13T09:05,-1,961.9300000000512
27288,27432,2019-11-20T09:05,2019-11-22T09:05,1,-50.56999999997788
28008,28080,2019-12-04T09:05,2019-12-05T09:05,1,1433.679999999964
28512,28534,2019-12-13T09:05,2019-12-13T10:55,-1,-178.37000000005355
28969,29300,2019-12-23T11:10,2019-12-27T14:45,1,5626.330000000045
29377,29448,2019-12-31T09:10,2020-01-02T09:05,1,-539.6700000000128
29520,29664,2020-01-03T09:05,2020-01-07T09:05,1,10100.830000000045
29736,29737,2020-01-08T09:05,2020-01-08T09:10,1,2777.8300000000454
30024,30087,2020-01-14T09:05,2020-01-14T14:20,-1,645.4300000000221
30600,30676,2020-02-03T09:05,2020-02-04T09:25,1,6678.529999999999
31392,31605,2020-02-18T09:05,2020-02-20T14:50,1,6345.329999999987
31608,31688,2020-02-21T09:05,2020-02-24T09:45,1,11916.229999999865
32400,32401,2020-03-09T09:05,2020-03-09T09:10,1,-645.3699999999953
32688,32697,2020-03-13T09:05,2020-03-13T09:50,-1,7453.530000000115
32700,32706,2020-03-13T10:05,2020-03-13T10:35,-1,-1565.570000000007
32760,32762,2020-03-16T09:05,2020-03-16T09:15,-1,3701.530000000028
32765,32766,2020-03-16T09:30,2020-03-16T09:35,-1,-1014.9699999999721
32832,32834,2020-03-17T09:05,2020-03-17T09:15,-1,5862.73000000004
32842,32844,2020-03-17T09:55,2020-03-17T10:05,-1,3066.329999999958
32903,32904,2020-03-17T15:00,2020-03-18T09:05,-1,-1070.7699999999313
33264,33265,2020-03-25T09:05,2020-03-25T09:10,1,2559.929999999993
33840,33841,2020-04-07T09:05,2020-04-07T09:10,1,70.13000000000466
34218,34254,2020-04-14T10:35,2020-04-14T13:35,1,139.93000000008033
34413,34416,2020-04-16T14:50,2020-04-17T09:05,1,-1541.8699999999953
34709,34726,2020-04-23T09:30,2020-04-23T10:55,1,-1026.2699999999604
34790,34848,2020-04-24T10:15,2020-04-27T09:05,1,83.73000000001048
35280,35352,2020-05-08T09:05,2020-05-11T09:05,1,-1000.8699999999371
35568,35737,2020-05-14T09:05,2020-05-18T11:10,1,16128.429999999818
36648,36666,2020-06-04T09:05,2020-06-04T10:35,-1,-164.2699999998731
36792,36846,2020-06-08T09:05,2020-06-08T13:35,-1,2980.2300000000105
37512,37584,2020-06-22T09:05,2020-06-23T09:05,1,2403.9299999999057
37656,37746,2020-06-24T09:05,2020-06-29T10:35,1,372.03000000014435
37872,37944,2020-07-01T09:05,2020-07-02T09:05,1,-57.77000000004773
38304,38376,2020-07-09T09:05,2020-07-10T09:05,1,-445.6699999999255
38743,38808,2020-07-17T09:40,2020-07-20T09:05,-1,-1330.8700000000536
38952,38955,2020-07-22T09:05,2020-07-22T09:20,1,11506.330000000075
39096,39171,2020-07-24T09:05,2020-07-27T09:20,1,6582.729999999923
39182,39195,2020-07-27T10:15,2020-07-27T11:20,1,3991.930000000051
39240,39244,2020-07-28T09:05,2020-07-28T09:25,1,2403.429999999993
39672,39673,2020-08-05T09:05,2020-08-05T09:10,1,1938.9299999999348
39740,39870,2020-08-05T14:45,2020-08-07T13:35,1,7589.629999999888
40032,40105,2020-08-12T09:05,2020-08-13T09:10,-1,8942.430000000051
40608,40619,2020-08-24T09:05,2020-08-24T10:00,-1,334.429999999993
41916,41976,2020-09-17T10:05,2020-09-18T09:05,-1,-1851.270000000135
42120,42132,2020-09-22T09:05,2020-09-22T10:05,-1,6109.429999999935
42186,42191,2020-09-22T14:35,2020-09-22T15:00,-1,-1347.1699999999255
42217,42324,2020-09-23T11:10,2020-09-24T14:05,-1,8264.029999999912
43472,43488,2020-10-26T13:45,2020-10-27T09:05,-1,-1601.5699999999488
43621,43632,2020-10-28T14:10,2020-10-29T09:05,1,-5220.104999999981
43633,43776,2020-10-29T09:10,2020-11-02T09:05,-1,1660.1649999999208
44064,44122,2020-11-06T09:05,2020-11-06T13:55,1,852.9299999998184
44136,44203,2020-11-09T09:05,2020-11-09T14:40,1,-1589.3699999999371
44208,44221,2020-11-10T09:05,2020-11-10T10:10,-1,1236.1300000000629
44701,44787,2020-11-18T14:10,2020-11-20T09:20,-1,407.929999999993
44928,45142,2020-11-24T09:05,2020-11-26T14:55,-1,10429.529999999795
45216,45241,2020-11-30T09:05,2020-11-30T11:10,-1,4219.929999999993
45648,45747,2020-12-08T09:05,2020-12-09T11:20,1,2474.5299999999697
46210,46366,2020-12-17T13:55,2020-12-21T14:55,1,8402.429999999935
47016,47036,2021-01-05T09:05,2021-01-05T10:45,1,131.63000000006286
47088,47142,2021-01-06T09:05,2021-01-06T13:35,1,-1292.0699999999488
47304,47310,2021-01-11T09:05,2021-01-11T09:35,-1,12978.829999999958
48447,48469,2021-02-01T14:20,2021-02-02T10:10,1,-1507.1699999999837
48528,48546,2021-02-03T09:05,2021-02-03T10:35,-1,-602.1699999999255
48600,48668,2021-02-04T09:05,2021-02-04T14:45,-1,2841.5300000001444
48672,48728,2021-02-05T09:05,2021-02-05T13:45,-1,1217.030000000028
48960,48986,2021-02-18T09:05,2021-02-18T11:15,-1,2257.6300000002375
49032,49053,2021-02-19T09:05,2021-02-19T10:50,-1,-33.26999999990221
49446,49466,2021-02-26T13:35,2021-03-01T09:15,-1,5221.930000000051
49536,49590,2021-03-02T09:05,2021-03-02T13:35,-1,3327.530000000028
49752,49812,2021-03-05T09:05,2021-03-05T14:05,-1,2066.7300000000396
50400,50472,2021-03-18T09:05,2021-03-19T09:05,1,1150.1300000000629
50976,51114,2021-03-30T09:05,2021-03-31T14:35,-1,6700.530000000203
51192,51264,2021-04-02T09:05,2021-04-06T09:05,1,-570.0700000001816
51463,51545,2021-04-08T13:40,2021-04-09T14:30,1,1532.9299999997602
51894,51915,2021-04-16T13:35,2021-04-19T09:20,1,2033.329999999958
52129,52188,2021-04-22T09:10,2021-04-22T14:05,1,-1468.7700000000186
52560,52627,2021-04-30T09:05,2021-04-30T14:40,-1,-146.26999999996042
52704,52848,2021-05-07T09:05,2021-05-11T09:05,1,3325.0299999999697
53133,53233,2021-05-14T14:50,2021-05-18T11:10,1,6681.830000000133
53381,53430,2021-05-20T11:30,2021-05-21T09:35,1,-1719.369999999879
53496,53568,2021-05-24T09:05,2021-05-25T09:05,1,-506.6700000001583
53640,53702,2021-05-26T09:05,2021-05-26T14:15,1,2471.030000000028
54134,54166,2021-06-03T14:15,2021-06-04T10:55,-1,9216.329999999958
54720,54821,2021-06-17T09:05,2021-06-18T11:30,-1,4467.929999999935
54864,54888,2021-06-21T09:05,2021-06-21T11:05,-1,-746.5699999999488
55368,55440,2021-06-30T09:05,2021-07-01T09:05,-1,766.429999999993
55586,55728,2021-07-05T09:15,2021-07-07T09:05,1,1271.030000000028
55800,55854,2021-07-08T09:05,2021-07-08T13:35,1,-1630.2699999997858
55876,55937,2021-07-09T09:25,2021-07-09T14:30,1,-616.6700000000419
55945,55968,2021-07-12T09:10,2021-07-12T11:05,1,-1757.37000000017
56106,56304,2021-07-14T10:35,2021-07-19T09:05,1,1684.6299999998882
56543,56592,2021-07-22T11:00,2021-07-23T09:05,-1,-1458.3700000001118
56748,56808,2021-07-27T10:05,2021-07-28T09:05,-1,-1576.8699999998207
56953,57024,2021-07-30T09:10,2021-08-02T09:05,1,-1355.5700000001816
57384,57385,2021-08-09T09:05,2021-08-09T09:10,-1,10745.930000000051
57528,57557,2021-08-11T09:05,2021-08-11T11:30,-1,-1190.9699999999139
58176,58248,2021-08-24T09:05,2021-08-25T09:05,1,608.8300000000163
58457,58483,2021-08-27T14:30,2021-08-30T10:40,1,1034.1300000000047
58824,58950,2021-09-06T09:05,2021-09-07T13:35,1,-1567.5699999998906
59040,59112,2021-09-09T09:05,2021-09-10T09:05,-1,-884.7700000000186
59184,59209,2021-09-13T09:05,2021-09-13T11:10,-1,-598.4700000000885
59456,59538,2021-09-16T13:45,2021-09-17T14:35,-1,3608.730000000098
59688,59747,2021-09-24T09:05,2021-09-24T14:00,-1,-786.070000000007
59895,60048,2021-09-28T14:20,2021-10-08T09:05,-1,706.5299999999697
60336,60480,2021-10-14T09:05,2021-10-18T09:05,1,2250.130000000063
61416,61488,2021-11-04T09:05,2021-11-05T09:05,-1,-350.5699999999488
61560,61630,2021-11-08T09:05,2021-11-08T14:55,1,3051.5300000002026
61636,61927,2021-11-09T09:25,2021-11-15T09:40,1,5335.229999999923
62352,62593,2021-11-23T09:05,2021-11-26T11:10,-1,5574.929999999993
62784,62843,2021-12-01T09:05,2021-12-01T14:00,-1,-1020.9699999999721
62928,63000,2021-12-03T09:05,2021-12-06T09:05,-1,-1237.9700000000885
63352,63360,2021-12-10T14:25,2021-12-13T09:05,-1,-1697.2699999999022
63507,63576,2021-12-15T09:20,2021-12-16T09:05,-1,-470.4700000001467
63648,63792,2021-12-17T09:05,2021-12-21T09:05,1,1465.8299999997253
63948,64224,2021-12-23T10:05,2021-12-29T09:05,1,-600.5700000001816
64368,64440,2021-12-31T09:05,2022-01-04T09:05,1,-1243.7699999996694
64648,64800,2022-01-06T14:25,2022-01-11T09:05,-1,552.0300000000861
64998,65088,2022-01-13T13:35,2022-01-17T09:05,1,-1843.969999999972
65304,65448,2022-01-20T09:05,2022-01-24T09:05,1,225.43000000016764
65592,65664,2022-01-26T09:05,2022-01-27T09:05,1,-1715.4699999998556
65670,65808,2022-01-27T09:35,2022-02-07T09:05,-1,911.1300000000629
