entry_bar,exit_bar,entry_time,exit_time,side,pnl
11384,11453,2019-07-19T09:05,2019-07-19T14:50,1,281.76539417872846
12032,12036,2019-08-01T09:05,2019-08-01T09:25,-1,-19.280386134254513
12104,12106,2019-08-02T09:05,2019-08-02T09:15,1,24.48881088195776
12176,12189,2019-08-05T09:05,2019-08-05T10:10,1,816.3200234020915
12201,12249,2019-08-05T11:10,2019-08-06T09:10,1,629.1034079274541
12323,12330,2019-08-07T09:20,2019-08-07T09:55,1,209.95027058653068
12386,12396,2019-08-07T14:35,2019-08-08T09:25,1,433.2207108380826
12488,12529,2019-08-09T11:05,2019-08-09T14:30,1,-232.3855492175062
12608,12680,2019-08-13T09:05,2019-08-14T09:05,1,495.16308322361147
13256,13277,2019-08-26T09:05,2019-08-26T10:50,1,804.2898932280077
13400,13409,2019-08-28T09:05,2019-08-28T09:50,1,-16.026034810580313
13536,13544,2019-08-29T14:25,2019-08-30T09:05,1,-53.65218663155974
13760,13766,2019-09-04T09:05,2019-09-04T09:35,1,-251.18034225539304
13970,13977,2019-09-06T14:35,2019-09-09T09:10,-1,315.5155770074489
14048,14058,2019-09-10T09:05,2019-09-10T09:55,-1,487.41114523915167
14480,14501,2019-09-19T09:05,2019-09-19T10:50,-1,-236.51747842620534
14696,14840,2019-09-24T09:05,2019-09-26T09:05,1,157.2590317390568
15272,15333,2019-10-11T09:05,2019-10-11T14:10,-1,-207.33801374872564
15344,15347,2019-10-14T09:05,2019-10-14T09:20,-1,182.41626444345457
15370,15416,2019-10-14T11:15,2019-10-15T09:05,-1,-146.16352201258997
15553,15560,2019-10-16T14:30,2019-10-17T09:05,-1,-226.49846423869894
15776,15848,2019-10-22T09:05,2019-10-23T09:05,-1,-204.3396226415207
16054,16136,2019-10-25T14:15,2019-10-29T09:05,1,-193.8086880210467
16568,16640,2019-11-06T09:05,2019-11-07T09:05,-1,442.03305543371243
16712,16775,2019-11-08T09:05,2019-11-08T14:20,-1,541.0165277168417
16856,16928,2019-11-12T09:05,2019-11-13T09:05,-1,140.69474915899627
17288,17432,2019-11-20T09:05,2019-11-22T09:05,1,-7.396518941037357
18008,18080,2019-12-04T09:05,2019-12-05T09:05,1,209.69431037003233
18512,18534,2019-12-13T09:05,2019-12-13T10:55,-1,-26.088927892356878
18969,19300,2019-12-23T11:10,2019-12-27T14:45,1,822.9237969869719
19377,19448,2019-12-31T09:10,2020-01-02T09:05,1,-78.93374286967446
19520,19664,2020-01-03T09:05,2020-01-07T09:05,1,1477.377504753531
19736,19737,2020-01-08T09:05,2020-01-08T09:10,1,406.2936960655352
20024,20087,2020-01-14T09:05,2020-01-14T14:20,-1,94.40251572329726
20600,20676,2020-02-03T09:05,2020-02-04T09:25,1,976.8217054263223
21392,21605,2020-02-18T09:05,2020-02-20T14:50,1,928.0868802106561
21608,21688,2020-02-21T09:05,2020-02-24T09:45,1,1742.903320169673
22400,22401,2020-03-09T09:05,2020-03-09T09:10,1,-94.39373994441121
22688,22697,2020-03-13T09:05,2020-03-13T09:50,-1,1090.175515577037
22700,22706,2020-03-13T10:05,2020-03-13T10:35,-1,-228.98493491295085
22760,22762,2020-03-16T09:05,2020-03-16T09:15,-1,541.3968114670279
22765,22766,2020-03-16T09:30,2020-03-16T09:35,-1,-148.45253766271344
22832,22834,2020-03-17T09:05,2020-03-17T09:15,-1,857.50036565747
22842,22844,2020-03-17T09:55,2020-03-17T10:05,-1,448.49056603772624
22903,22904,2020-03-17T15:00,2020-03-18T09:05,-1,-156.61401199355896
23264,23265,2020-03-25T09:05,2020-03-25T09:10,1,374.4229925405816
23840,23841,2020-04-07T09:05,2020-04-07T09:10,1,10.257422846276313
24218,24254,2020-04-14T10:35,2020-04-14T13:35,1,20.466578908875817
24413,24416,2020-04-16T14:50,2020-04-17T09:05,1,-225.518502267063
24709,24726,2020-04-23T09:30,2020-04-23T10:55,1,-150.10530934618146
24790,24848,2020-04-24T10:15,2020-04-27T09:05,1,12.246599385747686
25280,25352,2020-05-08T09:05,2020-05-11T09:05,1,-146.39022963287425
25568,25737,2020-05-14T09:05,2020-05-18T11:10,1,2358.9922480621317
26648,26666,2020-06-04T09:05,2020-06-04T10:35,-1,-24.02661986251769
26792,26846,2020-06-08T09:05,2020-06-08T13:35,-1,435.8973233874276
