DateTime,Equity,PnL,Trades,PosEnd
2022-07-01T09:05:00,100266.19350592366,266.19350592365663,0.5,-1
2022-07-01T09:10:00,100257.41772707328,-8.775778850380448,0.0,-1
2022-07-01T09:15:00,100274.96928477402,17.551557700746343,0.0,-1
2022-07-01T09:20:00,100289.59558285798,14.626298083952861,0.0,-1
2022-07-01T09:25:00,100292.52084247477,2.9252596167934826,0.0,-1
2022-07-01T09:30:00,100295.44610209156,2.9252596167934826,0.0,-1
2022-07-01T09:35:00,100292.52084247477,-2.9252596167934826,0.0,-1
2022-07-01T09:40:00,100269.11876554044,-23.40207693433331,0.0,-1
2022-07-01T09:45:00,100289.59558285798,20.476817317539826,0.0,-1
2022-07-01T09:50:00,100312.9976597923,23.402076934318757,0.0,-1
2022-07-01T09:55:00,100307.14714055872,-5.850519233572413,0.0,-1
2022-07-01T10:00:00,100307.14714055872,0.0,0.0,-1
2022-07-01T10:05:00,100310.07240017552,2.9252596167934826,0.0,-1
2022-07-01T10:10:00,100301.29662132513,-8.775778850380448,0.0,-1
2022-07-01T10:15:00,100289.59558285798,-11.701038467159378,0.0,-1
2022-07-01T10:20:00,100289.59558285798,0.0,0.0,-1
2022-07-01T10:25:00,100289.59558285798,0.0,0.0,-1
2022-07-01T10:30:00,100289.59558285798,0.0,0.0,-1
2022-07-01T10:35:00,100277.8945443908,-11.70103846717393,0.0,-1
2022-07-01T10:40:00,100277.8945443908,0.0,0.0,-1
2022-07-01T10:45:00,100280.8198040076,2.9252596167934826,0.0,-1
2022-07-01T10:50:00,100277.8945443908,-2.9252596167934826,0.0,-1
2022-07-01T10:55:00,100277.8945443908,0.0,0.0,-1
2022-07-01T11:00:00,100315.92291940909,38.02837501828617,0.0,-1
2022-07-01T11:05:00,100315.92291940909,0.0,0.0,-1
2022-07-01T11:10:00,100312.9976597923,-2.9252596167934826,0.0,-1
2022-07-01T11:15:00,100327.62395787625,14.626298083952861,0.0,-1
2022-07-01T11:20:00,100312.9976597923,-14.626298083952861,0.0,-1
2022-07-01T11:25:00,100327.62395787625,14.626298083952861,0.0,-1
2022-07-01T11:30:00,100345.175515577,17.551557700746343,0.0,-1
2022-07-01T11:35:00,100345.175515577,0.0,0.0,-1
2022-07-01T11:40:00,100345.175515577,0.0,0.0,-1
2022-07-01T11:45:00,100345.175515577,0.0,0.0,-1
2022-07-01T11:50:00,100345.175515577,0.0,0.0,-1
2022-07-01T11:55:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:00:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:05:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:10:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:15:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:20:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:25:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:30:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:35:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:40:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:45:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:50:00,100345.175515577,0.0,0.0,-1
2022-07-01T12:55:00,100345.175515577,0.0,0.0,-1
2022-07-01T13:00:00,100345.175515577,0.0,0.0,-1
2022-07-01T13:05:00,100345.175515577,0.0,0.0,-1
2022-07-01T13:10:00,100345.175515577,0.0,0.0,-1
2022-07-01T13:15:00,100345.175515577,0.0,0.0,-1
2022-07-01T13:20:00,100345.175515577,0.0,0.0,-1
2022-07-01T13:25:00,100345.175515577,0.0,0.0,-1
2022-07-01T13:30:00,100345.175515577,0.0,0.0,-1
2022-07-01T13:35:00,100377.35337136169,32.177855784699204,0.0,-1
2022-07-01T13:40:00,100520.69109258446,143.33772122276423,0.0,-1
2022-07-01T13:45:00,100485.58797718296,-35.10311540149269,0.0,-1
2022-07-01T13:50:00,100462.18590024865,-23.402076934318757,0.0,-1
2022-07-01T13:55:00,100441.7090829311,-20.476817317539826,0.0,-1
2022-07-01T14:00:00,100465.11115986544,23.40207693433331,0.0,-1
2022-07-01T14:05:00,100441.7090829311,-23.40207693433331,0.0,-1
2022-07-01T14:10:00,100430.00804446395,-11.701038467159378,0.0,-1
2022-07-01T14:15:00,100459.26064063185,29.252596167905722,0.0,-1
2022-07-01T14:20:00,100456.33538101506,-2.9252596167934826,0.0,-1
2022-07-01T14:25:00,100470.96167909901,14.626298083952861,0.0,-1
2022-07-01T14:30:00,100465.11115986544,-5.850519233572413,0.0,-1
2022-07-01T14:35:00,100491.43849641657,26.32733655112679,0.0,-1
2022-07-01T14:40:00,100514.84057335088,23.402076934318757,0.0,-1
2022-07-01T14:45:00,100488.51323679976,-26.32733655112679,0.0,-1
2022-07-01T14:50:00,100485.58797718296,-2.9252596167934826,0.0,-1
2022-07-01T14:55:00,100503.13953488371,17.551557700746343,0.0,-1
2022-07-01T15:00:00,100453.41012139826,-49.72941348544555,0.0,-1
2022-07-04T09:05:00,100247.32046219101,-206.08965920725313,0.5,0
2022-07-04T09:10:00,100247.32046219101,0.0,0.0,0
2022-07-04T09:15:00,100247.32046219101,0.0,0.0,0
2022-07-04T09:20:00,100247.32046219101,0.0,0.0,0
2022-07-04T09:25:00,100247.32046219101,0.0,0.0,0
2022-07-04T09:30:00,100247.32046219101,0.0,0.0,0
2022-07-04T09:35:00,100247.32046219101,0.0,0.0,0
2022-07-04T09:40:00,100247.32046219101,0.0,0.0,0
2022-07-04T09:45:00,100247.32046219101,0.0,0.0,0
2022-07-04T09:50:00,100247.32046219101,0.0,0.0,0
2022-07-04T09:55:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:00:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:05:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:10:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:15:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:20:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:25:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:30:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:35:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:40:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:45:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:50:00,100247.32046219101,0.0,0.0,0
2022-07-04T10:55:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:00:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:05:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:10:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:15:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:20:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:25:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:30:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:35:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:40:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:45:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:50:00,100247.32046219101,0.0,0.0,0
2022-07-04T11:55:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:00:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:05:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:10:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:15:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:20:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:25:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:30:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:35:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:40:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:45:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:50:00,100247.32046219101,0.0,0.0,0
2022-07-04T12:55:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:00:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:05:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:10:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:15:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:20:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:25:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:30:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:35:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:40:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:45:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:50:00,100247.32046219101,0.0,0.0,0
2022-07-04T13:55:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:00:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:05:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:10:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:15:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:20:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:25:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:30:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:35:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:40:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:45:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:50:00,100247.32046219101,0.0,0.0,0
2022-07-04T14:55:00,100247.32046219101,0.0,0.0,0
2022-07-04T15:00:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:05:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:10:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:15:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:20:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:25:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:30:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:35:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:40:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:45:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:50:00,100247.32046219101,0.0,0.0,0
2022-07-05T09:55:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:00:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:05:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:10:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:15:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:20:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:25:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:30:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:35:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:40:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:45:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:50:00,100247.32046219101,0.0,0.0,0
2022-07-05T10:55:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:00:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:05:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:10:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:15:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:20:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:25:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:30:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:35:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:40:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:45:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:50:00,100247.32046219101,0.0,0.0,0
2022-07-05T11:55:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:00:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:05:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:10:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:15:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:20:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:25:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:30:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:35:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:40:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:45:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:50:00,100247.32046219101,0.0,0.0,0
2022-07-05T12:55:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:00:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:05:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:10:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:15:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:20:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:25:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:30:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:35:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:40:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:45:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:50:00,100247.32046219101,0.0,0.0,0
2022-07-05T13:55:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:00:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:05:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:10:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:15:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:20:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:25:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:30:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:35:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:40:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:45:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:50:00,100247.32046219101,0.0,0.0,0
2022-07-05T14:55:00,100247.32046219101,0.0,0.0,0
2022-07-05T15:00:00,100247.32046219101,0.0,0.0,0
2022-07-06T09:05:00,100887.94719906391,640.6267368729023,0.5,-1
2022-07-06T09:10:00,100879.17142021353,-8.775778850380448,0.0,-1
2022-07-06T09:15:00,100917.19979523182,38.02837501828617,0.0,-1
2022-07-06T09:20:00,100896.72297791428,-20.476817317539826,0.0,-1
2022-07-06T09:25:00,100925.97557408219,29.252596167905722,0.0,-1
