entry_bar,exit_bar,entry_time,exit_time,side,pnl
20671,20673,2023-09-28T14:10,2023-09-28T14:20,-1,1663.2300000000396
20682,20687,2023-10-09T09:05,2023-10-09T09:30,-1,-185.06999999994878
20761,20900,2023-10-10T09:40,2023-10-12T09:15,-1,1172.0300000001444
21258,21402,2023-10-19T09:05,2023-10-23T09:05,1,6992.129999999932
21762,21821,2023-10-30T09:05,2023-10-30T14:00,1,1691.6300000000192
22194,22410,2023-11-07T09:05,2023-11-10T09:05,-1,3781.029999999999
22482,22554,2023-11-13T09:05,2023-11-14T09:05,-1,-2037.4699999999139
22912,22986,2023-11-20T14:55,2023-11-22T09:05,-1,-2156.569999999978
23049,23202,2023-11-22T14:20,2023-11-27T09:05,-1,-748.6699999999837
23346,23563,2023-11-29T09:05,2023-12-04T09:10,1,11980.02999999994
23994,24076,2023-12-12T09:05,2023-12-13T09:55,-1,129.33000000005995
24570,24930,2023-12-22T09:05,2023-12-29T09:05,1,4984.62999999999
25489,25650,2024-01-10T13:40,2024-01-15T09:05,-1,-1520.6699999998527
25858,25938,2024-01-17T14:25,2024-01-19T09:05,-1,-893.1699999999109
26094,26220,2024-01-23T10:05,2024-01-24T14:35,-1,-620.0349999999744
26226,26299,2024-01-25T09:05,2024-01-26T09:10,-1,-1504.9699999999139
26514,26752,2024-01-31T09:05,2024-02-05T10:55,1,932.4300000000076
27244,27378,2024-02-22T09:55,2024-02-26T09:05,-1,-1116.1699999999255
27666,28050,2024-03-01T09:05,2024-03-08T11:05,1,21725.0300000001
28098,28156,2024-03-11T09:05,2024-03-11T13:55,1,967.4299999999639
28674,28746,2024-03-21T09:05,2024-03-22T09:05,1,2900.0300000001007
28825,28839,2024-03-25T09:40,2024-03-25T10:50,1,-1943.1700000000856
28988,29250,2024-03-27T11:15,2024-04-02T09:05,1,15864.130000000005
29322,29406,2024-04-03T09:05,2024-04-08T10:05,1,15273.93000000008
29408,29414,2024-04-08T10:15,2024-04-08T10:45,1,4736.229999999894
29682,29754,2024-04-12T09:05,2024-04-15T09:05,1,6947.229999999923
29849,29892,2024-04-16T11:00,2024-04-16T14:35,1,-1997.070000000007
