entry_bar,exit_bar,entry_time,exit_time,side,pnl
56178,56181,2025-10-21T09:05,2025-10-21T09:20,1,-4149.370000000054
57189,57313,2025-11-10T09:20,2025-11-11T13:40,1,21875.42999999998
57402,57405,2025-11-13T09:05,2025-11-13T09:20,1,5881.930000000066
58068,58125,2025-11-26T10:35,2025-11-27T09:20,1,-4195.070000000007
58194,58292,2025-11-28T09:05,2025-12-01T11:15,1,21015.530000000057
58842,58856,2025-12-11T09:05,2025-12-11T10:15,1,-2514.569999999978
58914,59058,2025-12-12T09:05,2025-12-16T09:05,1,12140.02999999997
59346,59422,2025-12-22T09:05,2025-12-23T09:25,1,28412.43000000005
59429,59472,2025-12-23T10:00,2025-12-23T13:35,1,-3654.8700000000244
59490,59503,2025-12-24T09:05,2025-12-24T10:10,1,-159.77000000004773
59635,59636,2025-12-26T09:10,2025-12-26T09:15,1,-4483.0700000001525
59778,59785,2025-12-30T09:05,2025-12-30T09:40,-1,-4460.569999999949
59878,59911,2025-12-31T11:25,2025-12-31T14:10,-1,6053.930000000109
60282,60285,2026-01-12T09:05,2026-01-12T09:20,1,7580.029999999882
60408,60485,2026-01-13T13:35,2026-01-14T14:00,1,5247.630000000121
60642,60644,2026-01-19T09:05,2026-01-19T09:15,1,4737.5299999999115
60768,60854,2026-01-20T13:35,2026-01-21T14:45,1,42457.630000000005
60930,60931,2026-01-23T09:05,2026-01-23T09:10,1,9939.930000000051
60940,60957,2026-01-23T09:55,2026-01-23T11:20,1,-5202.070000000036
60987,60992,2026-01-23T13:50,2026-01-23T14:15,1,-4328.470000000118
61002,61012,2026-01-26T09:05,2026-01-26T09:55,1,22370.929999999877
61070,61073,2026-01-26T14:45,2026-01-26T15:00,1,-694.4699999998556
61146,61148,2026-01-28T09:05,2026-01-28T09:15,1,14205.129999999888
61154,61179,2026-01-28T09:45,2026-01-28T11:50,1,7879.964999999793
